text,first_label,second_label
Yes. Driving while extremely tired is legally recklessly driving and can get you arrested if you're judged to be impaired.,Rational Persuasion,Logical Appeal
It seems like you are ok with with whistleblowing as long as it matches your arbitrary idea of what is morally acceptable. Isn't that a bit hypocritical?,Manipulation,Negative Emotional Appeal
At what point do your ownership rights cease? When your body starts to decay? Your last breath? When you're entirely broken down? The ownership over body arguments have their flaws in the donation debate,Rational Persuasion,Persuasive Inquiry
It's rather disingenuous to believe feminism's narrative about rape victims has nothing to do with their willingness to believe unskeptically.,Rational Persuasion,Logical Appeal
"Except it doesn't and claims purports these problems to be inconsequential, a result of the 'patriarchy', and so on.",Rational Persuasion,Logical Appeal
"Honest question: why would *anyone* agree to pay child support when the government would fund it? I would rather have a gentleman's agreement with my GF, reject all claims of parenthood to my son so that we can collect government benefits/wellfare for my fatherless son. EDIT: yes, it is fraud.",Manipulation,Negative Emotional Appeal
No? You are a good example of what I am talking about. A white person is far more likely than anyone else to possibly argue that skin color is irrelevant in the world and honestly mean it or think that noticing the effects of racism is itself racist.,Manipulation,Othering
I don't think Facebook stockholders would agree with you. Facebook is a business and a business caters to its customers interests. It's that simple.,Rational Persuasion,Logical Appeal
"Just because you don't know who an artist is doesn't mean they aren't influential. No one knew who The Pixies were for years, but they were a huge influence on shitloads of bands.",Manipulation,Negative Emotional Appeal
If it's your preference why don't you just ask if they are cis? Is this woman supposed to be a mind reader? If you don't make your preferences clear your really don't have anyone to blame but yourself if your standards aren't met.,Manipulation,Negative Emotional Appeal
"We can't take a brain and say ""yup, this brain is female"". The differences and similarities we are talking about are statistical, i.e. the overall characteristics are closer to the cis control group of the identified gender, but only statistically",Rational Persuasion,Empirical Evidence
"Because unlike all those other groups you list, being nerdy doesn't result in structural economic and political disenfranchisement. You can complain all you want about whatever you want, but your love life is not a political issue.",Manipulation,Negative Emotional Appeal
"Surrogacy is not allowed in California because of anything concerning rights- it allowed based on public policy. In states where it is illegal, that law cannot be challenged on the grounds of bodily autonomy, as it is the commercial transaction that is being regulated, not the medical procedures.",Rational Persuasion,Empirical Evidence
"And there, gold doesn't do much other than make you a target for angry looters.",Manipulation,Negative Emotional Appeal
"While you may have some good points - no way they vote republican en mass. She may have some problems in the primaries from those groups, but not up against a whiter male that the republicans will probably have running.",Manipulation,Othering
Its one of the most(if not the most) profitable models IF you can pull it off. Its extremely risky but everyone wants to be valve and roit.,Manipulation,Social Conformity
"I've found that McDonald's unquestionably wins in $/cal, at least with local McDonald's. McDoubles and McChickens are $1 and 360 calories, while junior roast beers are only 210/$.",Rational Persuasion,Empirical Evidence
Are you arguing with me or Osama bin Laden? These are clearly examples of u.s. foreign intervention no matter what caveats you want to claim.,Manipulation,Negative Emotional Appeal
"Not to comment on the effectiveness of the American prison system, but <4% of inmates are held in private prisons. It's a big issue, but you should qualify it instead of stating it like all inmates are working in for-profit private prisons.",Rational Persuasion,Empirical Evidence
And does the modern reason not apply to women? Why are they exempt from what is a very basic health & safety consideration?,Rational Persuasion,Persuasive Inquiry
I don't understand what you could have possibly thought it was doing up to this point. Did you not think that hiring practices that favor men have a negative affect on women and the industry at large? Have you just not thought about it before?,Manipulation,Negative Emotional Appeal
"Can I ask how you've come to the conclusion that tradition is not a worthwhile end but progress is? Progress has a positive connotation, but it isn't actually always positive.",Rational Persuasion,Persuasive Inquiry
"Color / race / gender / etc. exist - socially if not biologically. Acting as though it doesn't exist teaches kids (inadvertently) that it is a taboo subject, and thus there is something wrong with it. By ignoring race we actually ""teach"" kids that racial differences are bad.",Rational Persuasion,Logical Appeal
"Meaning is a human construct. Humans are part of life. Therefore life has meaning. More accurately, life *creates* meaning.",Rational Persuasion,Logical Appeal
"I think it should be apparent that the story is more important than you believe (as far as ""the public"" is concerned). Even Portal, widely acclaimed as some of the most innovative gameplay at its time, is remembered more for its story than the gameplay. Storytelling is just plain important.",Rational Persuasion,Logical Appeal
"To go further, I'm going to make a reasonable guess that you haven't dedicated your life and everything you own to charity work. If you really would sacrifice one person to help two others, you should really start mailing your food to Africa.",Manipulation,Negative Emotional Appeal
"Did you look at the graph? It has a line for total compensation, and it's not rising at anywhere near the rate of productivity. I'm not saying your wrong, but your comment is in dispute with his source which you haven't seemed to realize.",Rational Persuasion,Logical Appeal
