text,first_label,second_label
Yes. Driving while extremely tired is legally recklessly driving and can get you arrested if you're judged to be impaired.,Rational Persuasion,Logical Appeal
At what point do your ownership rights cease? When your body starts to decay? Your last breath? When you're entirely broken down? The ownership over body arguments have their flaws in the donation debate,Rational Persuasion,Persuasive Inquiry
It's rather disingenuous to believe feminism's narrative about rape victims has nothing to do with their willingness to believe unskeptically.,Rational Persuasion,Logical Appeal
"Except it doesn't and claims purports these problems to be inconsequential, a result of the 'patriarchy', and so on.",Rational Persuasion,Logical Appeal
I don't think Facebook stockholders would agree with you. Facebook is a business and a business caters to its customers interests. It's that simple.,Rational Persuasion,Logical Appeal
"We can't take a brain and say ""yup, this brain is female"". The differences and similarities we are talking about are statistical, i.e. the overall characteristics are closer to the cis control group of the identified gender, but only statistically",Rational Persuasion,Empirical Evidence
"Surrogacy is not allowed in California because of anything concerning rights- it allowed based on public policy. In states where it is illegal, that law cannot be challenged on the grounds of bodily autonomy, as it is the commercial transaction that is being regulated, not the medical procedures.",Rational Persuasion,Empirical Evidence
"I've found that McDonald's unquestionably wins in $/cal, at least with local McDonald's. McDoubles and McChickens are $1 and 360 calories, while junior roast beers are only 210/$.",Rational Persuasion,Empirical Evidence
"Not to comment on the effectiveness of the American prison system, but <4% of inmates are held in private prisons. It's a big issue, but you should qualify it instead of stating it like all inmates are working in for-profit private prisons.",Rational Persuasion,Empirical Evidence
And does the modern reason not apply to women? Why are they exempt from what is a very basic health & safety consideration?,Rational Persuasion,Persuasive Inquiry
"Can I ask how you've come to the conclusion that tradition is not a worthwhile end but progress is? Progress has a positive connotation, but it isn't actually always positive.",Rational Persuasion,Persuasive Inquiry
"Color / race / gender / etc. exist - socially if not biologically. Acting as though it doesn't exist teaches kids (inadvertently) that it is a taboo subject, and thus there is something wrong with it. By ignoring race we actually ""teach"" kids that racial differences are bad.",Rational Persuasion,Logical Appeal
"Meaning is a human construct. Humans are part of life. Therefore life has meaning. More accurately, life *creates* meaning.",Rational Persuasion,Logical Appeal
"I think it should be apparent that the story is more important than you believe (as far as ""the public"" is concerned). Even Portal, widely acclaimed as some of the most innovative gameplay at its time, is remembered more for its story than the gameplay. Storytelling is just plain important.",Rational Persuasion,Logical Appeal
"Did you look at the graph? It has a line for total compensation, and it's not rising at anywhere near the rate of productivity. I'm not saying your wrong, but your comment is in dispute with his source which you haven't seemed to realize.",Rational Persuasion,Logical Appeal
This response is my favorite because it's more or less pointing out the fallacies in the post. Corporate ladder doesn't exist and becoming a young billionaire requires being a founder or inventor.,Rational Persuasion,Logical Appeal
"There are no urinals for MtFs to use, while FtMs have to go in the stall, anyway. So, to answer your question, because no one will see them, anyway.",Rational Persuasion,Logical Appeal
"I think we should judge it on a case by case basis. For example *Annie*. When Little Orphan Annie first came out in the 1930s, she was a little Irish girl, because the Irish in that time were treated very poorly. That just wouldn't work in 2014, so they made the character black.",Rational Persuasion,Empirical Evidence
"What exactly is your view? The movements exist that is a fact. The views of the movements aren't accepted by the scientific community as a whole, that is also a fact. These movements admit to that freely, they just claim for whatever reason the research has been biased/corrupted.",Rational Persuasion,Logical Appeal
"What's even worse are the english teachers who, after learning that the author intended no such symbols, go on to claim that authorial intent is irrelevant and that the interpretation being taught is obviously correct.",Rational Persuasion,Logical Appeal
"The free market will ""solve"" the problem, as long as you believe that the solution in WI is a low-quality, cheap education system. Good teachers will get jobs in other professions and in other states.",Rational Persuasion,Logical Appeal
"In a democracy, your ability to influence a decision is equal to all others ability. One person, one vote. In capitalism, the ability to influence the market depends upon money. The more money you have, the more you can 'vote'. This is inherently undemocratic.",Rational Persuasion,Empirical Evidence
"Oh, I know. In fact I assume anyone reading my post knows that. My purpose was to point out how anti-discrimination principles are unevenly applied, and the principle xdrenched was suggesting(discrimination is okay if based on ""objective"" factors) was incorrect.",Rational Persuasion,Logical Appeal
"Isn't 3d animation a hell of a lot more resource intensive to produce than anime? I think it'd be better to compare anime to cartoons and, yes, we have a ton of adult-themed cartoons (south park, family guy, R&M...) that explore the issues you mentioned.",Rational Persuasion,Empirical Evidence
"But there's no such thing as ""microevolution"" and ""macroevolution."" They're both the same thing, just on different timescales, so if one is true then the other must be as well.",Rational Persuasion,Logical Appeal
"Yes, deterrence against invasion is a large part of why they'd want a nuke.",Rational Persuasion,Logical Appeal
"Sure, but that's the point. They like excess, and are willing to spend for it. It's simply a different set of values than you have, no scam involved.",Rational Persuasion,Logical Appeal
"Additionally, how often do you find yourself going to con's for things that don't interest you? Because there is probably some confirmation bias going on. You are far more likely to notice the negative aspects of a con you attended than one you didn't.",Rational Persuasion,Logical Appeal
"I don't understand how energy conservation is doing nothing. Nearly everyone in the USA has the capability to dramatically reduce the amount of energy we use, which would do a great deal to reduce carbon emissions if we all did it. That's not ""nothing"".",Rational Persuasion,Logical Appeal
"If a child can be produced by an artificial womb, a woman's life is no longer at risk, her health is no longer at risk, her bodily autonomy remains intact.",Rational Persuasion,Logical Appeal
"By that abstract reasoning there is literally no selfless act that can be done, and therefore the concept of selfish/selfless become null.",Rational Persuasion,Logical Appeal
A computer has the experience of every other computer in the world at its disposal. A computer can analyze all of the data and find a solution in the time it takes for you to tell your story.,Rational Persuasion,Logical Appeal
"What about advertising that, no matter how entertaining, leads you believe something contrary to reality?",Rational Persuasion,Persuasive Inquiry
"Actually the USA is the only one with America in the country's name, so it's totally valid to say it that way, literally everyone knows what you are talking about with zero chance of confusion. North, Central, and South America are regions. The only country with the name America is the USA.",Rational Persuasion,Empirical Evidence
"It would basically be an incentive for law enforcment to behave illegaly in order to obtain evidence and then cover up who exactly was responsible for it. ""We can't determine exactly *who* forged the signature on the phone surveillance warrant, but here's the tape.""",Rational Persuasion,Logical Appeal
Why? You haven't provided any reasons for this assertion besides your intuition. You can't simply say something is self-evident. Let's suppose I disagree. Now what?,Rational Persuasion,Persuasive Inquiry
"I should go out and play the lottery tomorrow. Either I win or I don't, so I have a 50% chance of becoming a multimillionaire!",Rational Persuasion,Logical Appeal
"How are you understanding the term ""exploitation"" in this context? Surely the mere fact that someone is being paid more than they otherwise would have been is not sufficient to show that they are not being exploited, especially if you stipulate that the wage is not as high as the worker deserves.",Rational Persuasion,Logical Appeal
"While that's better than what I usually hear, it's not ""without a heavy accent"". You're out of tune which makes you sound foreign. You roll the Rs a tiny bit too much but you roll them in the right places. If I'd have to guess, I'd say you're Russian or something else in that region.",Rational Persuasion,Logical Appeal
"Does this really challenge the point though? This makes the reasons for privatization even worse in my eyes, only strengthening the view.",Rational Persuasion,Persuasive Inquiry
"To be honest, it doesn't sound like her relationship was or is fake. More likely she told you that to keep you interested while she was making up her mind between you and the other guy. You need to let this one go for your own sake.",Rational Persuasion,Logical Appeal
"If it's impossible for a homeless guy to get a job that's worth more than free meals, isn't he clearly better off getting the free meals from charity?",Rational Persuasion,Persuasive Inquiry
The best predictor of an individual's future success or lack thereof is their *parent's* income at the time of the individual's birth. This fact alone should be enough to demonstrate that the perception that individual success is due entirely due to individual drive is a myth.,Rational Persuasion,Logical Appeal
I think you underestimate Assad's confidence in non-intervention. He's always been a guy to push the limits of what other nations will tolerate.,Rational Persuasion,Logical Appeal
The presence of civilians does not protect a military target from being attacked. That's in the Geneva Conventions.,Rational Persuasion,Empirical Evidence
Liberal bias can exist without exceeding the biases of a conservative news network. You don't have to be worse than Harding to be a bad president.,Rational Persuasion,Logical Appeal
Your definition of a real number is incorrect. You are thinking of the set of integers and the set of integers is not dense. You can think of a real number as any number that can be represented in decimal form.,Rational Persuasion,Logical Appeal
The wiggle room never seems to work in anyone's favor and only seems to encourage that laziness.,Rational Persuasion,Logical Appeal
plus it has been shown that smokers are cheaper because they die younger and dont ever get to the expensive end of life care of an older person. dying at 50 instead of 90 saves us 40 years of health costs.,Rational Persuasion,Empirical Evidence
"Many customers like to interact with a person, not a machine, and don't care about Chipotle making more money. It would hurt communities a lot because currently along with getting burritos we also get a bunch of jobs, so money is going back into the local economy. With robots, we would lose that.",Rational Persuasion,Logical Appeal
"It's a shaming tactic. If you have someone feeling guilty, you can manipulate them.",Rational Persuasion,Logical Appeal
"Um, yes it is. The frequency at which a system fails and the severity of a failure are absolutely arguments against that system.",Rational Persuasion,Logical Appeal
"Without being able to challenge your premises taken on faith, there is no point in challenging the idea of young earth. If God exists and is all-powerful then it is entirely possible that he created the universe to look aged. Why he would do so is unknowable.",Rational Persuasion,Logical Appeal
