text,first_label,second_label
It seems like you are ok with with whistleblowing as long as it matches your arbitrary idea of what is morally acceptable. Isn't that a bit hypocritical?,Manipulation,Negative Emotional Appeal
"Honest question: why would *anyone* agree to pay child support when the government would fund it? I would rather have a gentleman's agreement with my GF, reject all claims of parenthood to my son so that we can collect government benefits/wellfare for my fatherless son. EDIT: yes, it is fraud.",Manipulation,Negative Emotional Appeal
No? You are a good example of what I am talking about. A white person is far more likely than anyone else to possibly argue that skin color is irrelevant in the world and honestly mean it or think that noticing the effects of racism is itself racist.,Manipulation,Othering
"Just because you don't know who an artist is doesn't mean they aren't influential. No one knew who The Pixies were for years, but they were a huge influence on shitloads of bands.",Manipulation,Negative Emotional Appeal
If it's your preference why don't you just ask if they are cis? Is this woman supposed to be a mind reader? If you don't make your preferences clear your really don't have anyone to blame but yourself if your standards aren't met.,Manipulation,Negative Emotional Appeal
"Because unlike all those other groups you list, being nerdy doesn't result in structural economic and political disenfranchisement. You can complain all you want about whatever you want, but your love life is not a political issue.",Manipulation,Negative Emotional Appeal
"And there, gold doesn't do much other than make you a target for angry looters.",Manipulation,Negative Emotional Appeal
"While you may have some good points - no way they vote republican en mass. She may have some problems in the primaries from those groups, but not up against a whiter male that the republicans will probably have running.",Manipulation,Othering
Its one of the most(if not the most) profitable models IF you can pull it off. Its extremely risky but everyone wants to be valve and roit.,Manipulation,Social Conformity
Are you arguing with me or Osama bin Laden? These are clearly examples of u.s. foreign intervention no matter what caveats you want to claim.,Manipulation,Negative Emotional Appeal
I don't understand what you could have possibly thought it was doing up to this point. Did you not think that hiring practices that favor men have a negative affect on women and the industry at large? Have you just not thought about it before?,Manipulation,Negative Emotional Appeal
"To go further, I'm going to make a reasonable guess that you haven't dedicated your life and everything you own to charity work. If you really would sacrifice one person to help two others, you should really start mailing your food to Africa.",Manipulation,Negative Emotional Appeal
I would put handcuffs on her and take her to jail if I witnessed it. Vigilante justice doesn't exist here in the US. A criminal is a criminal.,Manipulation,Negative Emotional Appeal
"My evil twin, ex girlfriend, boyfriend, hacker, friend, enemy, stranger, father, or maybe my mother figured out my password (123456) and posted that incriminating evidence. Prove me wrong.",Manipulation,Negative Emotional Appeal
"1. If you give them money, they will no longer have nothing! 2. Life is inherently good. I know it sounds cheesy, but like I said: anyone who tells you something's more important than life doesn't understand the true value of life (or rather, the true meaning of death).",Manipulation,Negative Emotional Appeal
"You better not eat any food then, the US has massive agricultural subsidies...",Manipulation,Negative Emotional Appeal
Because the Word of God™ has a nasty habit of resembling (read: exactly the same as) the pre-held beliefs of the person interpreting them.,Manipulation,Negative Emotional Appeal
"haha. Try getting the dishes done by a toddler? You will need new plates, probably a visit to ER and a professional crew to clean up your kitchen.",Manipulation,Negative Emotional Appeal
Are these workers beaten if they underperform? Does Samsung sell their children to Apple? Can management rape the workers willy-nilly?,Manipulation,Negative Emotional Appeal
"Why would you get leather seats, which are more expensive than cloth, and then cover them with cloth (which probably don't fit very well and look stupid)? Your ""solution"" solves a problem that shouldn't even exist.",Manipulation,Negative Emotional Appeal
Failing to show would result in the possibility of you being found in contempt of court and being ordered to pay additional fines and costs. You could be arrested. And still have to appear for the creditor's exam.,Manipulation,Negative Emotional Appeal
"Wouldn't this make it too easy to exploit asylum seekers? If I know they fear execution for committing a crime, I have extremely powerful leverage over them. That would enable me to get away with all kinds of labor violations.",Manipulation,Negative Emotional Appeal
It only harms the child because everyone tells them that they should be traumatised by it.,Manipulation,Negative Emotional Appeal
"The risk/reward of this is just unreasonable. Dog owners get happiness, the rest of us get feces, allergies, urine, and the risk of dog bites which can happen when a dog is on a leash. I just don't care about your bonus dog time enough to risk any of that.",Manipulation,Negative Emotional Appeal
Maybe in nudist colonies where everyone agrees on the rules of the colony. Good luck convincing the lunatics on the public transit in new York city for example to all follow this unwritten moral code. Spoiler: they won't. They're crazy. They don't care about what you frown upon.,Manipulation,Negative Emotional Appeal
"Right, but whoever's reading your post is pretty likely to be rich and educated by global standards. And more importantly: you're saying everybody should have less children; I'm saying no, the rich should have more, and the poor, less.",Manipulation,Othering
"Saying ""There is no justification for hate"" and ""Anti-theism is equivalent to anti-semitism"" are two vastly different things. If you're going to edit anything, I would start there. An apology for making such an inflammatory, insensitive, and baseless remark wouldn't be unwarranted either.",Manipulation,Negative Emotional Appeal
Should me and my buddies be able to take your house by force? Land has changed hands over and over again throughout history. If you have a problem with it you can resist through force.,Manipulation,Negative Emotional Appeal
"You are wrong, Israel wasn't supported by foreign countries over their Arabic neighbors until 1967, when they won an overwhelming victory against the Arabs in 6 days, and it became clear that they are the predominant power in the region and its better to support them.",Manipulation,Othering
So how much would it cost if your home is a pepper spray awfulness place and how much will it cost if squirrels eat your house? Way more than one professional removal. Just bite the bullet don't pepper spray your house.,Manipulation,Negative Emotional Appeal
Even better if they just made separate swimming pools for blacks and whites. I'm sure they'll spend the maintenance money evenly...,Manipulation,Othering
So you're going to stick with your view despite the fact that a black man did recently kill a white man and was successfully able to claim self defense? A fact that completely discredits your view.,Manipulation,Othering
"wrong, children that grow up in households where they are ignored grow up defective. what you need is risk minimization not avoidance",Manipulation,Negative Emotional Appeal
"If photography is so easy and there are some very wealthy, respected photographers, why aren't you doing it? It's something you only need functional hands to do, so you should be able to knock out some National Geographic worthy pictures over a weekend and start raking in some of that cash.",Manipulation,Negative Emotional Appeal
"That's a good point, because a woman who wears the hijab may give the impression that she is 'submissive and obedient' and certain men may feel therefore it's safe to harass her",Manipulation,Othering
"""What if I don't let this totally awesome thing kill me? What if I live out my life and then get killed by tripping on dirty laundry and falling down a flight of stairs? This is my chance to get killed by something truly awesome. I can't pass that up.""",Manipulation,Negative Emotional Appeal
That doesn't make tipping right though? The problem lies with the fact that minimum wage is $2.13! Why doesn't anyone have a problem with this?!,Manipulation,Negative Emotional Appeal
I am an individual with maybe 50 years of life left and no vested interest in the planet after I am gone. Seems like plenty of reason to not care about a long term problem to me.,Manipulation,Negative Emotional Appeal
Please show me all these straw feminists where they want to establish a female supremacy. Maybe you also have a backwards view on feminism.,Manipulation,Negative Emotional Appeal
If the worker is capable of being casual with drug use then they are capable of quitting the drug use altogether to get a job. End of story. If they're an addict then they shouldn't be working in just about any kind of job.,Manipulation,Othering
"You actually think your first point is a counter argument? Do you not know how financing elections work in our country, or are you being deliberately disingenuous?",Manipulation,Negative Emotional Appeal
